"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5193","deve exibir erro para email vazio","","Tue Aug 05 14:52:01 GMT 2025","passed","Tue Aug 05 14:52:06 GMT 2025","","Testes de login com dados do CSV","",""
"Screenshot capturado após falha no teste mobile","6978","Deve realizar swipe para a esquerda no primeiro card","","Tue Aug 05 14:53:04 GMT 2025","broken","Tue Aug 05 14:53:11 GMT 2025","","Teste das funcionalidades de Swipe Horizontal","",""
"","5469","deve exibir erro para email inválido","","Mon Aug 04 17:33:50 GMT 2025","passed","Mon Aug 04 17:33:56 GMT 2025","","Testes de login com dados do CSV","",""
"","9614","deve exibir erro para senha fraca","","Tue Aug 05 14:53:58 GMT 2025","passed","Tue Aug 05 14:54:08 GMT 2025","","Validação do formulário de cadastro","",""
"","7556","deve exibir erro para senha fraca","","Mon Aug 04 17:35:18 GMT 2025","passed","Mon Aug 04 17:35:25 GMT 2025","","Validação do formulário de cadastro","",""
"","8603","deve exibir erro para email inválido","","Tue Aug 05 14:53:50 GMT 2025","passed","Tue Aug 05 14:53:58 GMT 2025","","Validação do formulário de cadastro","",""
"","7442","deve exibir erro para email inválido","","Tue Aug 05 14:51:54 GMT 2025","passed","Tue Aug 05 14:52:01 GMT 2025","","Testes de login com dados do CSV","",""
"","5913","Preencher formulário sem erros","","Mon Aug 04 17:33:25 GMT 2025","passed","Mon Aug 04 17:33:31 GMT 2025","","Teste do meu formulário","",""
"","10259","deve cadastrar com sucesso quando todos os dados estão corretos","","Tue Aug 05 14:55:02 GMT 2025","passed","Tue Aug 05 14:55:12 GMT 2025","","Validação do formulário de cadastro","",""
"","27351","Deve arrastar os elementos para os locais corretos","","Mon Aug 04 17:32:48 GMT 2025","passed","Mon Aug 04 17:33:15 GMT 2025","","Teste Funcionalidade Drag and Drop","",""
"","5843","deve exibir erro para email e senha vazios","","Tue Aug 05 14:52:12 GMT 2025","passed","Tue Aug 05 14:52:18 GMT 2025","","Testes de login com dados do CSV","",""
"","3908","Deve realizar swipe para a direita no primeiro card","","Mon Aug 04 17:34:47 GMT 2025","passed","Mon Aug 04 17:34:51 GMT 2025","","Teste das funcionalidades de Swipe Horizontal","",""
"Screenshot capturado após falha no teste mobile","15093","deve exibir erro para email e senha inválidos","","Tue Aug 05 14:52:30 GMT 2025","failed","Tue Aug 05 14:52:45 GMT 2025","","Testes de login com dados do CSV","",""
"","5252","deve exibir erro para senha vazia","","Mon Aug 04 17:34:00 GMT 2025","passed","Mon Aug 04 17:34:06 GMT 2025","","Testes de login com dados do CSV","",""
"","3462","Deve realizar swipe para a esquerda no primeiro card","","Mon Aug 04 17:34:44 GMT 2025","passed","Mon Aug 04 17:34:47 GMT 2025","","Teste das funcionalidades de Swipe Horizontal","",""
"","7955","deve exibir erro para email inválido","","Mon Aug 04 17:35:10 GMT 2025","passed","Mon Aug 04 17:35:18 GMT 2025","","Validação do formulário de cadastro","",""
"","9459","deve cadastrar com sucesso quando todos os dados estão corretos","","Mon Aug 04 17:36:12 GMT 2025","passed","Mon Aug 04 17:36:22 GMT 2025","","Validação do formulário de cadastro","",""
"","4688","deve exibir erro para senha fraca","","Mon Aug 04 17:34:10 GMT 2025","passed","Mon Aug 04 17:34:15 GMT 2025","","Testes de login com dados do CSV","",""
"","8590","deve exibir erro quando a confirmação não tiver comparação de password","","Tue Aug 05 14:54:35 GMT 2025","passed","Tue Aug 05 14:54:43 GMT 2025","","Validação do formulário de cadastro","",""
"","8383","deve exibir erro quando a confirmação não tiver e-mail e password","","Mon Aug 04 17:35:56 GMT 2025","passed","Mon Aug 04 17:36:04 GMT 2025","","Validação do formulário de cadastro","",""
"","8507","deve exibir erro quando a confirmação não tiver e-mail","","Tue Aug 05 14:54:16 GMT 2025","passed","Tue Aug 05 14:54:25 GMT 2025","","Validação do formulário de cadastro","",""
"","8614","deve exibir erro quando a confirmação de senha não confere","","Tue Aug 05 14:54:08 GMT 2025","passed","Tue Aug 05 14:54:16 GMT 2025","","Validação do formulário de cadastro","",""
"","6775","deve fazer login com sucesso","","Tue Aug 05 14:52:23 GMT 2025","passed","Tue Aug 05 14:52:30 GMT 2025","","Testes de login com dados do CSV","",""
"","7665","deve exibir erro quando a confirmação não tiver comparação de password","","Mon Aug 04 17:35:48 GMT 2025","passed","Mon Aug 04 17:35:56 GMT 2025","","Validação do formulário de cadastro","",""
"","9471","deve exibir erros com todos os campos vazios","","Mon Aug 04 17:35:00 GMT 2025","passed","Mon Aug 04 17:35:10 GMT 2025","","Validação do formulário de cadastro","",""
"","2309","deve clicar e validar o texto Demo App","","Tue Aug 05 14:51:30 GMT 2025","passed","Tue Aug 05 14:51:32 GMT 2025","","Validação da Home Page","",""
"","9766","deve exibir erro quando a confirmação não tiver e-mail e password","","Tue Aug 05 14:54:43 GMT 2025","passed","Tue Aug 05 14:54:53 GMT 2025","","Validação do formulário de cadastro","",""
"","9048","deve exibir erro quando a confirmação não tiver e-mail e comparação de password","","Tue Aug 05 14:54:53 GMT 2025","passed","Tue Aug 05 14:55:02 GMT 2025","","Validação do formulário de cadastro","",""
"","6357","deve fazer login com sucesso","","Mon Aug 04 17:34:15 GMT 2025","passed","Mon Aug 04 17:34:21 GMT 2025","","Testes de login com dados do CSV","",""
